Date,Target-10,Target-9,Target-8,Target-7,Target-6,Target-5,Target-4,Target-3,Target-2,Target-1,Target
2019-01-16,984.35,990.88,1001.64,1002.78,997.42,996.77,1009.63,1013.32,1007.59,1019.3,1021.6
2019-01-17,990.88,1001.64,1002.78,997.42,996.77,1009.63,1013.32,1007.59,1019.3,1021.6,1024.91
2019-01-18,1001.64,1002.78,997.42,996.77,1009.63,1013.32,1007.59,1019.3,1021.6,1024.91,1030.69
2019-01-19,1001.64,1002.78,997.42,996.77,1009.63,1013.32,1007.59,1019.3,1021.6,1024.91,1030.69
2019-01-20,1001.64,1002.78,997.42,996.77,1009.63,1013.32,1007.59,1019.3,1021.6,1024.91,1030.69
2019-01-21,1002.78,997.42,996.77,1009.63,1013.32,1007.59,1019.3,1021.6,1024.91,1030.69,1029.06
2019-01-22,997.42,996.77,1009.63,1013.32,1007.59,1019.3,1021.6,1024.91,1030.69,1029.06,1031.06
2019-01-23,996.77,1009.63,1013.32,1007.59,1019.3,1021.6,1024.91,1030.69,1029.06,1031.06,1022.46
2019-01-24,1009.63,1013.32,1007.59,1019.3,1021.6,1024.91,1030.69,1029.06,1031.06,1022.46,1023.13
2019-01-25,1013.32,1007.59,1019.3,1021.6,1024.91,1030.69,1029.06,1031.06,1022.46,1023.13,1025.79
2019-01-26,1013.32,1007.59,1019.3,1021.6,1024.91,1030.69,1029.06,1031.06,1022.46,1023.13,1025.79
2019-01-27,1013.32,1007.59,1019.3,1021.6,1024.91,1030.69,1029.06,1031.06,1022.46,1023.13,1025.79
2019-01-28,1007.59,1019.3,1021.6,1024.91,1030.69,1029.06,1031.06,1022.46,1023.13,1025.79,1019.14
2019-01-29,1019.3,1021.6,1024.91,1030.69,1029.06,1031.06,1022.46,1023.13,1025.79,1019.14,1015.52
2019-01-30,1021.6,1024.91,1030.69,1029.06,1031.06,1022.46,1023.13,1025.79,1019.14,1015.52,1023.54
2019-01-31,1024.91,1030.69,1029.06,1031.06,1022.46,1023.13,1025.79,1019.14,1015.52,1023.54,1038.97
2019-02-01,1030.69,1029.06,1031.06,1022.46,1023.13,1025.79,1019.14,1015.52,1023.54,1038.97,1041.68
2019-02-02,1030.69,1029.06,1031.06,1022.46,1023.13,1025.79,1019.14,1015.52,1023.54,1038.97,1041.68
2019-02-03,1030.69,1029.06,1031.06,1022.46,1023.13,1025.79,1019.14,1015.52,1023.54,1038.97,1041.68
2019-02-04,1029.06,1031.06,1022.46,1023.13,1025.79,1019.14,1015.52,1023.54,1038.97,1041.68,1024.05
2019-02-05,1029.06,1031.06,1022.46,1023.13,1025.79,1019.14,1015.52,1023.54,1038.97,1041.68,1024.05
2019-02-06,1031.06,1022.46,1023.13,1025.79,1019.14,1015.52,1023.54,1038.97,1041.68,1024.05,1035.63
2019-02-07,1022.46,1023.13,1025.79,1019.14,1015.52,1023.54,1038.97,1041.68,1024.05,1035.63,1033.04
2019-02-08,1023.13,1025.79,1019.14,1015.52,1023.54,1038.97,1041.68,1024.05,1035.63,1033.04,1027.89
2019-02-09,1023.13,1025.79,1019.14,1015.52,1023.54,1038.97,1041.68,1024.05,1035.63,1033.04,1027.89
2019-02-10,1023.13,1025.79,1019.14,1015.52,1023.54,1038.97,1041.68,1024.05,1035.63,1033.04,1027.89
2019-02-11,1025.79,1019.14,1015.52,1023.54,1038.97,1041.68,1024.05,1035.63,1033.04,1027.89,1020.76
2019-02-12,1019.14,1015.52,1023.54,1038.97,1041.68,1024.05,1035.63,1033.04,1027.89,1020.76,1008.82
2019-02-13,1015.52,1023.54,1038.97,1041.68,1024.05,1035.63,1033.04,1027.89,1020.76,1008.82,1004.18
2019-02-14,1023.54,1038.97,1041.68,1024.05,1035.63,1033.04,1027.89,1020.76,1008.82,1004.18,1000.77
2019-02-15,1038.97,1041.68,1024.05,1035.63,1033.04,1027.89,1020.76,1008.82,1004.18,1000.77,994.97
2019-02-16,1038.97,1041.68,1024.05,1035.63,1033.04,1027.89,1020.76,1008.82,1004.18,1000.77,994.97
2019-02-17,1038.97,1041.68,1024.05,1035.63,1033.04,1027.89,1020.76,1008.82,1004.18,1000.77,994.97
2019-02-18,1041.68,1024.05,1035.63,1033.04,1027.89,1020.76,1008.82,1004.18,1000.77,994.97,1017.81
2019-02-19,1024.05,1035.63,1033.04,1027.89,1020.76,1008.82,1004.18,1000.77,994.97,1017.81,1013.95
2019-02-20,1035.63,1033.04,1027.89,1020.76,1008.82,1004.18,1000.77,994.97,1017.81,1013.95,1019.33
2019-02-21,1033.04,1027.89,1020.76,1008.82,1004.18,1000.77,994.97,1017.81,1013.95,1019.33,1024.44
2019-02-22,1027.89,1020.76,1008.82,1004.18,1000.77,994.97,1017.81,1013.95,1019.33,1024.44,1015.47
2019-02-23,1027.89,1020.76,1008.82,1004.18,1000.77,994.97,1017.81,1013.95,1019.33,1024.44,1015.47
2019-02-24,1027.89,1020.76,1008.82,1004.18,1000.77,994.97,1017.81,1013.95,1019.33,1024.44,1015.47
2019-02-25,1020.76,1008.82,1004.18,1000.77,994.97,1017.81,1013.95,1019.33,1024.44,1015.47,1020.04
2019-02-26,1008.82,1004.18,1000.77,994.97,1017.81,1013.95,1019.33,1024.44,1015.47,1020.04,1024.92
2019-02-27,1004.18,1000.77,994.97,1017.81,1013.95,1019.33,1024.44,1015.47,1020.04,1024.92,1021.78
2019-02-28,1000.77,994.97,1017.81,1013.95,1019.33,1024.44,1015.47,1020.04,1024.92,1021.78,1006.1
2019-03-01,994.97,1017.81,1013.95,1019.33,1024.44,1015.47,1020.04,1024.92,1021.78,1006.1,1018.17
2019-03-02,994.97,1017.81,1013.95,1019.33,1024.44,1015.47,1020.04,1024.92,1021.78,1006.1,1018.17
2019-03-03,994.97,1017.81,1013.95,1019.33,1024.44,1015.47,1020.04,1024.92,1021.78,1006.1,1018.17
2019-03-04,1017.81,1013.95,1019.33,1024.44,1015.47,1020.04,1024.92,1021.78,1006.1,1018.17,1017.84
2019-03-05,1013.95,1019.33,1024.44,1015.47,1020.04,1024.92,1021.78,1006.1,1018.17,1017.84,1007.79
2019-03-06,1019.33,1024.44,1015.47,1020.04,1024.92,1021.78,1006.1,1018.17,1017.84,1007.79,1009.31
2019-03-07,1019.33,1024.44,1015.47,1020.04,1024.92,1021.78,1006.1,1018.17,1017.84,1007.79,1009.31
2019-03-08,1024.44,1015.47,1020.04,1024.92,1021.78,1006.1,1018.17,1017.84,1007.79,1009.31,994.98
2019-03-09,1024.44,1015.47,1020.04,1024.92,1021.78,1006.1,1018.17,1017.84,1007.79,1009.31,994.98
2019-03-10,1024.44,1015.47,1020.04,1024.92,1021.78,1006.1,1018.17,1017.84,1007.79,1009.31,994.98
2019-03-11,1015.47,1020.04,1024.92,1021.78,1006.1,1018.17,1017.84,1007.79,1009.31,994.98,995.42
2019-03-12,1020.04,1024.92,1021.78,1006.1,1018.17,1017.84,1007.79,1009.31,994.98,995.42,994.02
2019-03-13,1024.92,1021.78,1006.1,1018.17,1017.84,1007.79,1009.31,994.98,995.42,994.02,996.07
2019-03-14,1021.78,1006.1,1018.17,1017.84,1007.79,1009.31,994.98,995.42,994.02,996.07,1004.18
2019-03-15,1006.1,1018.17,1017.84,1007.79,1009.31,994.98,995.42,994.02,996.07,1004.18,1014.81
2019-03-16,1006.1,1018.17,1017.84,1007.79,1009.31,994.98,995.42,994.02,996.07,1004.18,1014.81
2019-03-17,1006.1,1018.17,1017.84,1007.79,1009.31,994.98,995.42,994.02,996.07,1004.18,1014.81
2019-03-18,1018.17,1017.84,1007.79,1009.31,994.98,995.42,994.02,996.07,1004.18,1014.81,1024.97
2019-03-19,1017.84,1007.79,1009.31,994.98,995.42,994.02,996.07,1004.18,1014.81,1024.97,1019.34
2019-03-20,1007.79,1009.31,994.98,995.42,994.02,996.07,1004.18,1014.81,1024.97,1019.34,1020.39
2019-03-21,1009.31,994.98,995.42,994.02,996.07,1004.18,1014.81,1024.97,1019.34,1020.39,1024.62
2019-03-22,994.98,995.42,994.02,996.07,1004.18,1014.81,1024.97,1019.34,1020.39,1024.62,1025.93
2019-03-23,994.98,995.42,994.02,996.07,1004.18,1014.81,1024.97,1019.34,1020.39,1024.62,1025.93
2019-03-24,994.98,995.42,994.02,996.07,1004.18,1014.81,1024.97,1019.34,1020.39,1024.62,1025.93
2019-03-25,995.42,994.02,996.07,1004.18,1014.81,1024.97,1019.34,1020.39,1024.62,1025.93,1004.03
2019-03-26,994.02,996.07,1004.18,1014.81,1024.97,1019.34,1020.39,1024.62,1025.93,1004.03,1017.58
2019-03-27,996.07,1004.18,1014.81,1024.97,1019.34,1020.39,1024.62,1025.93,1004.03,1017.58,1010.41
2019-03-28,1004.18,1014.81,1024.97,1019.34,1020.39,1024.62,1025.93,1004.03,1017.58,1010.41,1019.01
2019-03-29,1014.81,1024.97,1019.34,1020.39,1024.62,1025.93,1004.03,1017.58,1010.41,1019.01,1019.03
2019-03-30,1014.81,1024.97,1019.34,1020.39,1024.62,1025.93,1004.03,1017.58,1010.41,1019.01,1019.03
2019-03-31,1014.81,1024.97,1019.34,1020.39,1024.62,1025.93,1004.03,1017.58,1010.41,1019.01,1019.03
2019-04-01,1024.97,1019.34,1020.39,1024.62,1025.93,1004.03,1017.58,1010.41,1019.01,1019.03,1016.18
2019-04-02,1019.34,1020.39,1024.62,1025.93,1004.03,1017.58,1010.41,1019.01,1019.03,1016.18,1019.71
2019-04-03,1019.34,1020.39,1024.62,1025.93,1004.03,1017.58,1010.41,1019.01,1019.03,1016.18,1019.71
2019-04-04,1020.39,1024.62,1025.93,1004.03,1017.58,1010.41,1019.01,1019.03,1016.18,1019.71,1025.96
2019-04-05,1024.62,1025.93,1004.03,1017.58,1010.41,1019.01,1019.03,1016.18,1019.71,1025.96,1021.27
2019-04-06,1024.62,1025.93,1004.03,1017.58,1010.41,1019.01,1019.03,1016.18,1019.71,1025.96,1021.27
2019-04-07,1024.62,1025.93,1004.03,1017.58,1010.41,1019.01,1019.03,1016.18,1019.71,1025.96,1021.27
2019-04-08,1025.93,1004.03,1017.58,1010.41,1019.01,1019.03,1016.18,1019.71,1025.96,1021.27,1015.29
2019-04-09,1004.03,1017.58,1010.41,1019.01,1019.03,1016.18,1019.71,1025.96,1021.27,1015.29,1024.36
2019-04-10,1017.58,1010.41,1019.01,1019.03,1016.18,1019.71,1025.96,1021.27,1015.29,1024.36,1024.13
2019-04-11,1010.41,1019.01,1019.03,1016.18,1019.71,1025.96,1021.27,1015.29,1024.36,1024.13,1007.97
